from_class,to_class,transition_code,area_km2
Built-up,Built-up,11,81.9414
Built-up,Vegetation,12,17.8236
Built-up,Water,13,0.0360
Built-up,Bare soil,14,0.0648
Vegetation,Built-up,21,246.1041
Vegetation,Vegetation,22,2861.2584
Vegetation,Water,23,0.6633
Vegetation,Bare soil,24,4.2075
Water,Built-up,31,0.0072
Water,Vegetation,32,1.5570
Water,Water,33,3.4992
Water,Bare soil,34,0.0000
Bare soil,Built-up,41,2.1240
Bare soil,Vegetation,42,1.2636
Bare soil,Water,43,0.0009
Bare soil,Bare soil,44,0.0297
